tweet_id,media_url,type,expanded_url,asset_number
886258384151887873,http://pbs.twimg.com/media/DEyfTG4UMAE4aE9.jpg,photo,https://twitter.com/dog_rates/status/886258384151887873/photo/1,1
885984800019947520,http://pbs.twimg.com/media/DEumeWWV0AA-Z61.jpg,photo,https://twitter.com/dog_rates/status/885984800019947520/photo/1,1
885528943205470208,http://pbs.twimg.com/media/DEoH3yvXgAAzQtS.jpg,photo,https://twitter.com/dog_rates/status/885528943205470208/photo/1,1
885311592912609280,http://pbs.twimg.com/media/C4bTH6nWMAAX_bJ.jpg,photo,https://twitter.com/dog_rates/status/830583320585068544/photo/1,1
885311592912609280,http://pbs.twimg.com/media/C4bTH6gWAAAV2ex.jpg,photo,https://twitter.com/dog_rates/status/830583320585068544/photo/1,2
885167619883638784,http://pbs.twimg.com/media/DEi_N9pXsAERvps.jpg,photo,https://twitter.com/dog_rates/status/885167619883638784/photo/1,1
885167619883638784,http://pbs.twimg.com/media/DEi_N9pXgAA8RQU.jpg,photo,https://twitter.com/dog_rates/status/885167619883638784/photo/1,2
885167619883638784,http://pbs.twimg.com/media/DEi_N9pXgAE41-v.jpg,photo,https://twitter.com/dog_rates/status/885167619883638784/photo/1,3
885167619883638784,http://pbs.twimg.com/media/DEi_N9qXYAAgEEw.jpg,photo,https://twitter.com/dog_rates/status/885167619883638784/photo/1,4
884925521741709313,http://pbs.twimg.com/media/DEfjEaNXkAAtPlj.jpg,photo,https://twitter.com/dog_rates/status/884925521741709313/photo/1,1
884876753390489601,http://pbs.twimg.com/media/DEe2tZXXkAAwyX3.jpg,photo,https://twitter.com/dog_rates/status/884876753390489601/photo/1,1
884876753390489601,http://pbs.twimg.com/media/DEe2tZWW0AIhXjS.jpg,photo,https://twitter.com/dog_rates/status/884876753390489601/photo/1,2
884876753390489601,http://pbs.twimg.com/media/DEe2tZEWAAIrpbu.jpg,photo,https://twitter.com/dog_rates/status/884876753390489601/photo/1,3
884876753390489601,http://pbs.twimg.com/media/DEe2tZHXUAA8r4k.jpg,photo,https://twitter.com/dog_rates/status/884876753390489601/photo/1,4
884562892145688576,http://pbs.twimg.com/media/DEaZQkfXUAEC7qB.jpg,photo,https://twitter.com/dog_rates/status/884562892145688576/photo/1,1
884441805382717440,http://pbs.twimg.com/media/DEYrIZwWsAA2Wo5.jpg,photo,https://twitter.com/dog_rates/status/884441805382717440/photo/1,1
884162670584377345,http://pbs.twimg.com/media/DEUtQbzW0AUTv_o.jpg,photo,https://twitter.com/dog_rates/status/884162670584377345/photo/1,1
883838122936631299,http://pbs.twimg.com/media/DEQGFgAXUAAEvfi.jpg,photo,https://twitter.com/dog_rates/status/883838122936631299/photo/1,1
883482846933004288,http://pbs.twimg.com/media/DELC9dZXUAADqUk.jpg,photo,https://twitter.com/dog_rates/status/883482846933004288/photo/1,1
883482846933004288,http://pbs.twimg.com/media/DELC9dXWsAMHUEK.jpg,photo,https://twitter.com/dog_rates/status/883482846933004288/photo/1,2
883360690899218434,http://pbs.twimg.com/media/DEJT3FeXoAAtwUy.jpg,photo,https://twitter.com/dog_rates/status/883360690899218434/photo/1,1
883117836046086144,http://pbs.twimg.com/media/DEF2-_jW0AEAS94.jpg,photo,https://twitter.com/dog_rates/status/883117836046086144/photo/1,1
883117836046086144,http://pbs.twimg.com/media/DEF2-_hXoAAs62q.jpg,photo,https://twitter.com/dog_rates/status/883117836046086144/photo/1,2
882992080364220416,http://pbs.twimg.com/media/DEEEnIqXYAAiJh_.jpg,photo,https://twitter.com/dog_rates/status/882992080364220416/photo/1,1
882992080364220416,http://pbs.twimg.com/media/DEEEnIrXkAEliy-.jpg,photo,https://twitter.com/dog_rates/status/882992080364220416/photo/1,2
882762694511734784,http://pbs.twimg.com/media/DEAz_HHXsAA-p_z.jpg,photo,https://twitter.com/dog_rates/status/882762694511734784/photo/1,1
882627270321602560,http://pbs.twimg.com/media/DD-40X3WAAAJPU5.jpg,photo,https://twitter.com/dog_rates/status/882627270321602560/photo/1,1
882268110199369728,http://pbs.twimg.com/media/DD5yKdPW0AArzX8.jpg,photo,https://twitter.com/dog_rates/status/882268110199369728/photo/1,1
882268110199369728,http://pbs.twimg.com/media/DD5yKdSXcAAb0-H.jpg,photo,https://twitter.com/dog_rates/status/882268110199369728/photo/1,2
882268110199369728,http://pbs.twimg.com/media/DD5yKdUXYAAMUzq.jpg,photo,https://twitter.com/dog_rates/status/882268110199369728/photo/1,3
882045870035918850,http://pbs.twimg.com/media/DD2oCl2WAAEI_4a.jpg,photo,https://twitter.com/dog_rates/status/882045870035918850/photo/1,1
